contraction,expansion
dulu,dulu
awl,awal
awal,awal
akhr,akhir
akhir,akhir
prtma,pertama
pertama,pertama
trakhr,terakhir
terakhir,terakhir
byr,bayar
bayar,bayar
hrg,harga
harga,harga
brg,barang
barang,barang
duit,uang
info,informasi
informasi,informasi
nmr,nomor
nomor,nomor
alm,alamat
alamat,alamat
tlp,telepon
telp,telepon
telpon,telepon
hp,handphone
email,email
akun,akun
acc,akun
usrnm,username
username,username
pw,password
password,password
psn,pesan
pesan,pesan
komen,komentar
kmntr,komentar
like,suka
share,bagikan
bgkn,bagikan
upld,unggah
upload,unggah
dnld,unduh
download,unduh
ss,screenshot
screenshot,screenshot
rek,rekomendasi
rekom,rekomendasi
rekomendasi,rekomendasi
recsel,recommended seller
reseller,penjual kembali
ongkir,ongkos kirim
cod,bayar di tempat
tf,transfer
transf,transfer
rek,rekening
norek,nomor rekening
atm,anjungan tunai mandiri
saldo,saldo
lwt,lewat
via,lewat
app,aplikasi
apk,aplikasi
web,website
website,website
link,tautan
url,tautan
inet,internet
internet,internet
jringn,jaringan
jaringan,jaringan
sinyal,sinyal
wifi,wifi
kuota,kuota
data,data
online,daring
offline,luring
vid,video
video,video
pic,gambar
foto,gambar
musik,musik
lagu,lagu
film,film
mov,film
tv,televisi
radio,radio
brta,berita
berita,berita
artikel,artikel
bku,buku
buku,buku
mjlh,majalah
majalah,majalah
koran,koran
dok,dokumen
dokumen,dokumen
file,berkas
folder,folder
cpy,salin
salin,salin
pst,tempel
paste,tempel
tempel,tempel
cut,potong
potong,potong
del,hapus
hapus,hapus
edit,sunting
sunting,sunting
sv,simpan
simpan,simpan
save,simpan
print,cetak
cetak,cetak
idk,tidak tahu
imho,menurut pendapat saya
imo,menurut pendapat saya
fyi,untuk informasi anda
btw,ngomong-ngomong
asap,sesegera mungkin
otw,sedang di jalan
afk,pergi sebentar
brb,segera kembali
lol,tertawa terbahak-bahak
lmao,tertawa sangat keras
smh,geleng-geleng kepala
nvm,lupakan saja
tbh,sejujurnya
cmiiw,koreksi jika saya salah
oot,di luar topik
dm,pesan pribadi
pm,pesan pribadi
pc,pesan pribadi
vc,panggilan video
vn,pesan suara
gc,grup chat
grup,grup
rt,retweet
qrt,kutip retweet
fl,pengikut
foll,ikuti
follow,ikuti
unfoll,berhenti mengikuti
unfollow,berhenti mengikuti
lb,like balik
like back,like balik
fb,ikuti balik
follback,ikuti balik
mutu,mutual
mutualan,saling mengikuti
mff,maaf
sori,maaf
tq,terima kasih
thx,terima kasih
ty,terima kasih
wkwk,tertawa
xixi,tertawa
huhu,menangis
hadeuh,aduh
yaampun,ya ampun
astg,astaga
astaga,astaga
sgtu,segitu
smg,semoga
mdh2an,mudah-mudahan
mudah2an,mudah-mudahan
insyaallah,insya Allah
alhamdulillah,alhamdulillah
masyaallah,masya Allah
subhanallah,subhanallah
amin,amin
aamiin,amin
mtrnwn,matur nuwun
suwun,terima kasih
nuwun,terima kasih
mksi,makasih
makasih,terima kasih
gtw,tidak tahu
gatau,tidak tahu
gngrt,tidak mengerti
ga ngerti,tidak mengerti
gpp,tidak apa-apa
gapapa,tidak apa-apa
ok,oke
oke,oke
sip,sip
yoi,iya
iy,iya
yo,iya
bnr,benar
bener,benar
btl,betul
betul,betul
slh,salah
salah,salah
udhla,sudahlah
sudahlah,sudahlah
yaudahla,ya sudahlah
ya sudahlah,ya sudahlah
gtula,begitulah
begitulah,begitulah
gnila,beginilah
beginilah,beginilah
apalgi,apalagi
apalagi,apalagi
apalage,apalagi
kekmana,bagaimana
kykmana,bagaimana
cemana,bagaimana
gmncaranya,bagaimana caranya
bagaimana caranya,bagaimana caranya
gimana caranya,bagaimana caranya
gmnsih,bagaimana sih
gimana sih,bagaimana sih
bknnya,bukannya
bukannya,bukannya
bukanny,bukannya
hrsnya,harusnya
harusnya,harusnya
mestinya,mestinya
mstinya,mestinya
sbnrnya,sebenarnya
sbnernya,sebenarnya
sejujurnya,sejujurnya
sjjurnya,sejujurnya
sejujurny,sejujurnya
truskn,teruskan
teruskan,teruskan
lanjutkn,lanjutkan
lanjutkan,lanjutkan
bntr,bentar
bentar,sebentar
bntaran,sebentaran
sebentaran,sebentaran
sbntr,sebentar
ntaran,nanti saja
nanti saja,nanti saja
tar,nanti
bentaran,sebentar
dikitt,sedikit
sedikitt,sedikit
dkit,sedikit
dkitlg,sedikit lagi
sedikit lagi,sedikit lagi
bykan,banyakan
banyakan,kebanyakan
kbnykn,kebanyakan
kebanyakan,kebanyakan
smpt,sempat
sempet,sempat
kesmptn,kesempatan
kesempatan,kesempatan
pluang,peluang
peluang,peluang
sngja,sengaja
sengaja,sengaja
gasengaja,tidak sengaja
gasngja,tidak sengaja
tidak sengaja,tidak sengaja
khlgan,kehilangan
kehilangan,kehilangan
ktinggalan,ketinggalan
ketinggalan,ketinggalan
ktmu,ketemu
ketemu,bertemu
ktemu,bertemu
kpn2,kapan-kapan
kapan2,kapan-kapan
kpn²,kapan-kapan
suatu saat,suatu saat
kpnlg,kapan lagi
kapan lagi,kapan lagi
dimna,dimana
dimana,dimana
dimna2,dimana-mana
dimana2,dimana-mana
dimana-mana,dimana-mana
ksna,kesana
kesana,kesana
ksni,kesini
kesini,kesini
stu,situ
situ,sana/kamu
sni,sini
sini,sini
dri sni,dari sini
dari sini,dari sini
dri stu,dari situ
dari situ,dari situ
dri mna,dari mana
dari mana,dari mana
sampe,sampai
smpai,sampai
sampeyan,kamu
anda,kamu
klen,kalian
klean,kalian
kelen,kalian
org2,orang-orang
orang2,orang-orang
orng2,orang-orang
brgkt,berangkat
berngkt,berangkat
berangkat,pergi
nyampe,sampai
nympe,sampai
tiba,sampai
balik,kembali
kembali,kembali
blik,kembali
pulng,pulang
pulkam,pulang kampung
pulang kampung,pulang kampung
mudik,pulang kampung
stay,tinggal
tinggal,tinggal
netap,menetap
menetap,menetap
pndh,pindah
pindah,pindah
nginep,menginap
menginap,menginap
nginap,menginap
kost,indekos
kosan,indekos
ngontrak,menyewa rumah
kontrakan,rumah sewaan
sewa,sewa
byr,bayar
lunas,lunas
cicil,cicil
cicilan,cicilan
utang,hutang
hutang,hutang
piutang,piutang
tagihan,tagihan
bill,tagihan
beliin,belikan
blikan,belikan
belikan,belikan
jualin,jualkan
jualkan,jualkan
kasihin,berikan
ksihn,berikan
berikan,berikan
ambilin,ambilkan
amblkn,ambilkan
ambilkan,ambilkan
tunjukin,tunjukkan
tnjukkn,tunjukkan
tunjukkan,tunjukkan
kirimin,kirimkan
krimkn,kirimkan
kirimkan,kirimkan
buatin,buatkan
buatkan,buatkan
bikinin,buatkan
benerin,perbaiki
perbaiki,perbaiki
betulin,perbaiki
rusakin,rusakkan
rusakkan,rusakkan
ancurin,hancurkan
hancurkan,hancurkan
ilangin,hilangkan
hilangkan,hilangkan
buang,buang
buangin,buangkan
simpen,simpan
simpan,simpan
simpenin,simpankan
taruhin,taruhkan
tarok,taruh
lakuin,lakukan
lakukan,lakukan
kerjain,kerjakan
krjakn,kerjakan
kerjakan,kerjakan
selesein,selesaikan
slsaikn,selesaikan
selesaikan,selesaikan
pakein,pakaikan
pakaikan,pakaikan
cobain,cobakan
cobakan,cobakan
cicip,cicipi
cicipi,cicipi
icip,cicipi
rasain,rasakan
rasakan,rasakan
liatin,perhatikan
perhatikan,perhatikan
dengerin,dengarkan
dengarkan,dengarkan
omongin,bicarakan
bicarakan,bicarakan
ngobrolin,membicarakan
tanyain,tanyakan
tanyakan,tanyakan
jawabinn,jawabkan
jawabkan,jawabkan
ceritain,ceritakan
ceritakan,ceritakan
kasitau,beri tahu
beri tahu,beri tahu
bilangin,beritahukan
beritahukan,memberitahu
ajarin,ajarkan
ajarkan,ajarkan
bantuin,bantu
bantu,bantu
tolongin,tolong
temenin,temani
temani,temani
jemput,jemput
jemputin,jemputkan
jemputkan,jemputkan
anter,antar
anterin,antarkan
antarkan,antarkan
nungguin,menunggu
tungguin,tunggu
ditunggu,ditunggu
dtunggu,ditunggu
diemin,diamkan
diamkan,diamkan
biarin,biarkan
biarkan,biarkan
cuekin,abaikan
abaikan,abaikan
masukin,masukkan
masukan,masukkan
keluarin,keluarkan
keluarkan,keluarkan
naikin,naikkan
naikkan,naikkan
turunin,turunkan
turunkan,turunkan
nyalain,nyalakan
nyalakan,nyalakan
matiin,matikan
matikan,matikan
gedeinn,besarkan
besarkan,besarkan
kecilin,kecilkan
kecilkan,kecilkan
cepetin,cepatkan
cepatkan,cepatkan
lambatin,lambatkan
lambatkan,lambatkan
banyakin,perbanyak
perbanyak,perbanyak
dikitinn,sedikitkan
sedikitkan,sedikitkan
tambahin,tambahkan
tambahkan,tambahkan
kurangin,kurangkan
kurangkan,kurangkan
abisinn,habiskan
habiskan,habiskan
sisain,sisakan
sisakan,sisakan
pindahin,pindahkan
pindahkan,pindahkan
umpetin,sembunyikan
sembunyikan,sembunyikan
ketauan,ketahuan
ketahuan,ketahuan
ketauan,ketahuan
keburu,terlanjur
kburu,terlanjur
terlanjur,terlanjur
trlnjr,terlanjur
kebetulan,kebetulan
kbtulan,kebetulan
kynya,kayaknya
kayaknya,sepertinya
kyknya,sepertinya
keknya,sepertinya
sepertiny,sepertinya
spertinya,sepertinya
mnrtku,menurutku
menurutku,menurutku
mnrtmu,menurutmu
menurutmu,menurutmu
mnrtnya,menurutnya
menurutnya,menurutnya
menurut gw,menurut saya
mnrt gw,menurut saya
gws,semoga lekas sembuh
hbd,selamat ulang tahun
ultah,ulang tahun
anniv,peringatan tahunan
anniversary,peringatan tahunan
congrats,selamat
congrats ya,selamat ya
slmt,selamat
selamat,selamat
rip,beristirahat dalam damai
rest in peace,beristirahat dalam damai
wtb,ingin membeli
want to buy,ingin membeli
wts,ingin menjual
want to sell,ingin menjual
wtt,ingin menukar
want to trade,ingin menukar
wta,ingin bertanya
want to ask,ingin bertanya
cod,bayar di tempat
cash on delivery,bayar di tempat
rekber,rekening bersama
rekening bersama,rekening bersama
dp,uang muka
down payment,uang muka
lfs,mencari teman mutual
looking for mutuals,mencari teman mutual
lf,mencari
looking for,mencari
rep,balasan
reply,balasan
mbb,maaf baru balas
maaf baru balas,maaf baru balas
pap,kirim foto
post a picture,kirim foto
knsl,batal
batal,batal
cancel,batal
resched,jadwal ulang
reschedule,jadwal ulang
undur,tunda
tunda,tunda
delay,tunda
pending,tertunda
tertunda,tertunda
ilang,hilang
hilang,hilang
ketemu,ditemukan
ditemukan,ditemukan
dpt,dapat
nemu,menemukan
menemukan,menemukan
nyari,mencari
mencari,mencari
srch,cari
cari,cari
temuin,temukan
temukan,temukan
kamuu,kamu
kamuuu,kamu
kamuh,kamu
kamyu,kamu
qamu,kamu
qmu,kamu
qmo,kamu
kamo,kamu
kamoe,kamu
loe,kamu
luu,kamu
luuu,kamu
elu,kamu
elow,kamu
akku,aku
akuu,aku
akuuu,aku
akuh,aku
aqu,aku
aq,aku
akko,aku
aqoe,aku
aqcu,aku
sayya,saya
sayaa,saya
sayaaa,saya
sayah,saya
saia,saya
guee,saya
gueee,saya
gw,saya
guwe,saya
ogut,saya
iyaa,iya
iyaaa,iya
iyaaaa,iya
iyah,iya
iyh,iya
iyap,iya
yoi,iya
yoi,iya
yoii,iya
hooh,iya
okee,oke
okeeh,oke
okeehh,oke
okeee,oke
okey,oke
okaii,oke
siapp,siap
siappp,siap
siaph,siap
sip,sip
siiip,sip
sippp,sip
baguss,bagus
bagusss,bagus
baguus,bagus
bagoes,bagus
bgus,bagus
bgs,bagus
kereen,keren
kerenn,keren
kerennn,keren
kerenz,keren
krenz,keren
kewren,keren
kece,keren
kce,keren
keceh,keren
mantapp,mantap
mantappp,mantap
mantaff,mantap
mantav,mantap
mantabs,mantap
ntaps,mantap
mantul,mantap
bangett,banget
bangettt,banget
bangetttt,banget
banged,banget
bangeudh,banget
beud,banget
beudh,banget
bingit,banget
bingits,banget
bgtt,banget
bgt,banget
bnget,banget
bngett,banget
bangeth,banget
begete,banget
paraah,parah
parahhh,parah
parahh,parah
parah bgt,parah banget
parah bngt,parah banget
parbet,parah banget
lucuu,lucu
lucuuu,lucu
luchu,lucu
luchuw,lucu
luthu,lucu
unch,lucu
gemess,gemas
gemesss,gemas
gemez,gemas
gemezz,gemas
gemessh,gemas
gemaash,gemas
gemoy,gemas
cantiik,cantik
cantik,cantik
cantikkk,cantik
cantiiq,cantik
tjantik,cantik
cans,cantik
cantieq,cantik
gantengg,ganteng
gantenggg,ganteng
gantenz,ganteng
gans,ganteng
tamvan,tampan
tampan,tampan
enakk,enak
enakkk,enak
enaak,enak
enaq,enak
wenak,enak
maknyus,enak
lezatt,lezat
sedapp,sedap
sakit,sakit
sakitt,sakit
sakittt,sakit
saqit,sakit
sick,sakit
senangg,senang
senanggg,senang
senenk,senang
seneng,senang
hepi,senang
happy,senang
bahagiaa,bahagia
bahagiaaa,bahagia
sedihh,sedih
sediih,sedih
sedihhh,sedih
cedih,sedih
sad,sedih
maraah,marah
marahh,marah
marahhh,marah
ngamuk,marah
kesall,kesal
kesalll,kesal
kesel,kesal
kzl,kesal
sebell,sebel
sebeell,sebel
nyebelin,menyebalkan
bt,bete
btee,bete
bosen,bosan
bosenn,bosan
kangen,rindu
kangenn,rindu
kangeen,rindu
kangen bgtt,kangen banget
kgn,rindu
rinduu,rindu
rinduuu,rindu
takutt,takut
takuttt,takut
takut bgt,takut banget
maluu,malu
maluuu,malu
maluw,malu
capekk,capek
capek,lelah
capeee,capek
capcay,capek
lelahh,lelah
lelahhh,lelah
semangatt,semangat
semangattt,semangat
cemungud,semangat
cemungudh,semangat
cemungut,semangat
spirit,semangat
lagii,lagi
lagiii,lagi
lagee,lagi
lgy,lagi
lagieh,lagi
lagih,lagi
terus,terus
teruss,terus
teruz,terus
truz,terus
trss,terus
terus terusan,terus menerusan
trs trsan,terus-terusan
apaa,apa
apaaa,apa
apah,apa
apah?,apa?
apha,apa
apose,apa
apz,apa
siapaa,siapa
siapaaa,siapa
sapose,siapa
syp,siapa
spha,siapa
sapaa,siapa
kapann,kapan
kapannn,kapan
kpn,kapan
kpann,kapan
dimanaa,dimana
dimanaaa,dimana
dmana,dimana
dmn,dimana
dmna,dimana
manaa,mana
mana nih,mana ini
napee,kenapa
napaa,kenapa
napaah,kenapa
kenapaa,kenapa
kenapaaa,kenapa
kenapose,kenapa
kenawhy,kenapa
mengapaa,mengapa
gimanaa,bagaimana
gimanaaa,bagaimana
gimanah,bagaimana
gmn,bagaimana
gmna,bagaimana
begimana,bagaimana
begimane,bagaimana
bagaimna,bagaimana
berapah,berapa
brpaa,berapa
brpaaa,berapa
udahh,sudah
udahhh,sudah
udaah,sudah
udeh,sudah
belumm,belum
belummm,belum
belom,belum
blom,belum
bluum,belum
maaff,maaf
maafff,maaf
maap,maaf
maaph,maaf
mian,maaf
sorii,maaf
sorryy,maaf
makasihh,terima kasih
makasii,terima kasih
makasihhh,terima kasih
makasiiih,terima kasih
mksh,terima kasih
makacie,terima kasih
maacih,terima kasih
tengkyu,terima kasih
tenkyu,terima kasih
tengkyuu,terima kasih
thanks,terima kasih
thankss,terima kasih
thankyouu,terima kasih
thank youu,terima kasih
thx,terima kasih
trimss,terima kasih
tolongg,tolong
tolonggg,tolong
tulung,tolong
pliss,tolong
plisss,tolong
pleas,tolong
pleasee,tolong
pleaseee,tolong
pake,pakai
pakek,pakai
pkee,pakai
bikinn,bikin
bikin,membuat
buatt,buat
buat,membuat
kasii,kasih
kasihh,kasih
kasiiih,kasih
kasik,kasih
ngasii,memberi
ngasihh,memberi
liatt,lihat
liattt,lihat
lihaat,lihat
liaat,lihat
tungguu,tunggu
tungguu,tunggu
tungggu,tunggu
tggu,tunggu
tungguin,tunggu
bilangg,bilang
bilanggg,bilang
bilank,bilang
blg,bilang
tanyaa,tanya
tanyaaa,tanya
tnyaa,tanya
jawab,jawab
jawabb,jawab
jwb,jawab
makann,makan
makan,makan
makannn,makan
mkaan,makan
mamam,makan
nyam,makan
minumm,minum
minummm,minum
tidurr,tidur
tidurrr,tidur
boboo,tidur
bobok,tidur
boboq,tidur
mainn,main
mainnn,main
maen,main
pergii,pergi
pergiih,pergi
cabutt,cabut
cabut,pergi
cuzz,pergi (ayo)
pulangg,pulang
pulanggg,pulang
pulank,pulang
balik,kembali
balikk,kembali
baliiik,kembali
speciall,spesial
specialll,spesial
spesiall,spesial
spesial,spesial
khususs,khusus
kususs,khusus
khusus,khusus
pentingg,penting
pentinggg,penting
pnting,penting
ptg,penting
bangettnya,bangetnya
bangetny,bangetnya
selaluu,selalu
selaluuu,selalu
slalu,selalu
kadangg,kadang
kadang kadang,kadang-kadang
kadank,kadang
jarangg,jarang
jarang jarang,jarang-jarang
seringg,sering
seringgg,sering
serink,sering
banyaak,banyak
banyakk,banyak
buanyak,banyak
sedikitt,sedikit
dikit,sedikit
dikiit,sedikit
cepattt,cepat
cepet,cepat
cepettt,cepat
buruaan,buru-buru
buruan,buru-buru
lambatt,lambat
lamaa,lama
lamaaa,lama
lama bgt,lama banget
baru,baru
baruu,baru
baruh,baru
inii,ini
inih,ini
iniii,ini
ituu,itu
ituuh,itu
ituuu,itu
disinii,disini
disinih,disini
disituu,disitu
disituh,disitu
disanaa,disana
disanah,disana
ginih,begini
giniii,begini
giniiee,begini
gituu,begitu
gituuh,begitu
gituh,begitu
begonoh,begitu
gtu,begitu
aduhh,aduh
aduuh,aduh
aduhai,aduh
astagaa,astaga
astagaaa,astaga
astajim,astaga
yaampunn,ya ampun
ya ampunn,ya ampun
waw,wah
waaw,wah
woww,wah
wow,kagum
wihh,wah
widiih,wah
wih,wah
asikk,asik
asikkk,asik
asekk,asik
asyikk,asik
seruuu,seru
seruuuu,seru
mantull,mantap
mantulll,mantap
anjayy,anjay
anjayyy,anjay
anjir,anjing
anjirr,anjing
gilakk,gila
gilakkk,gila
gilss,gila
edann,edan
edan,gila
edunn,edan
syekali,sekali
sekaleh,sekali
pisan,sekali
kalii,kali
kale,kali
keless,kali
k4mu,kamu
k4m0e,kamu
k4muh,kamu
4ku,aku
4kku,aku
4q,aku
4k0eh,aku
54y4,saya
5414,saya
1y4,iya
1y4h,iya
0k3,oke
0k,oke
0k3y,oke
514p,siap
514p86,siap
84gu5,bagus
849u5,bagus
6u5,bagus
k3r3n,keren
k3r3nz,keren
k3c3,kece
m4nt4p,mantap
m4nt48,mantap
m4nt4v,mantap
84n63t,banget
84n9et,banget
8n6t,banget
b6t,banget
lu7u,lucu
unyu,lucu
unyuu,lucu
imoet,imut
imut,lucu
c4k3p,cakep
tjakeup,cakep
caem,cakep
g4nt3n9,ganteng
g4nteng,ganteng
cuakep,cakep
cuantik,cantik
chantique,cantik
cantiq,cantik
3n4k,enak
3n4q,enak
54k1t,sakit
54k1tt,sakit
53n4n9,senang
5eneng,senang
53d1h,sedih
s3d1h,sedih
m4r4h,marah
k3s4l,kesal
k3s3l,kesal
b054n,bosan
b0s3n,bosan
k4n93n,kangen
k4n6en,kangen
kgnnn,kangen
r1ndu,rindu
r1nduu,rindu
t4kut,takut
t4kutt,takut
m4lu,malu
m4luu,malu
c4p3,capek
c4p3k,capek
l3l4h,lelah
l3lah,lelah
53m4n64t,semangat
5mngt,semangat
l491,lagi
l491h,lagi
t3ru5,terus
t3ru5an,terusan
4p4,apa
4p4h,apa
4p4?,apa?
514p4,siapa
514p4h,siapa
k4p4n,kapan
k4p4n?,kapan?
d1m4n4,dimana
d1m4n4?,dimana?
n4p4,kenapa
k3n4p4,kenapa
knp,kenapa
g1m4n4,bagaimana
91m4n4,bagaimana
b9mn,bagaimana
83r4p4,berapa
ud4h,sudah
ud4,sudah
ud4hl4h,sudahlah
b3lum,belum
b3l0m,belum
bl0m,belum
m44f,maaf
m44ph,maaf
m44p,maaf
m4k451h,makasih
m4k4s1h,makasih
mkshh,makasih
m4kas13h,makasih
t0l0n9,tolong
tlg,tolong
tlng,tolong
pl15,plis
pl1sss,plis
p4k3,pake
p4k3k,pake
b1k1n,bikin
8u4t,buat
k451h,kasih
k4s1h,kasih
l1h4t,lihat
l14t,lihat
tungguh,tunggu
tnggu,tunggu
b1l4n9,bilang
t4ny4,tanya
tny,tanya
j4w4b,jawab
jwban,jawaban
m4k4n,makan
m1num,minum
m1n0m,minum
t1dur,tidur
t1d0r,tidur
m41n,main
m43n,main
p3r91,pergi
pul4n9,pulang
b4l1k,balik
84l1k,balik
spec14l,spesial
sp3c14l,spesial
khu5u5,khusus
p3nt1n9,penting
pntg,penting
slaluu,selalu
slalu,selalu
kad4n9,kadang
jar4n9,jarang
ser1n9,sering
b4ny4k,banyak
bnyak,banyak
sed1k1t,sedikit
d1k1t,sedikit
cep4t,cepat
cpt,cepat
buruan,buru-buru
buru2,buru-buru
l4mb4t,lambat
lmbat,lambat
l4m4,lama
b4ru,baru
1n1,ini
1tu,itu
d1s1n1,disini
d1s1tu,disitu
d1s4n4,disana
91n1,gini
91tu,gitu
gitchu,gitu
ad0h,aduh
4duh,aduh
4st494,astaga
astajim,astaga
y44mpun,yaampun
w0w,wah
w0ww,wah
451k,asik
453k,asik
5eru,seru
53ru,seru
m4ntul,mantap
4nj4y,anjay
91l4,gila
9ilak,gila
3d4n,edan
4khrny,akhirnya
akhirny,akhirnya
akhrnya,akhirnya
sblmny,sebelumnya
seblmny,sebelumnya
stlhny,setelahnya
setelhny,setelahnya
pdhlny,padahal
pdahalny,padahal
kykny,kayaknya
sprtiny,sepertinya
spertiny,sepertinya
mngknny,mungkinnya
mungkinny,mungkinnya
trnyatany,ternyatanya
trnytany,ternyatanya
hrsny,harusnya
hrusny,harusnya
mztiny,mestinya
mestiny,mestinya
bknny,bukannya
bukanny,bukannya
jg,juga
jga,juga
jk,jika
jka,jika
mlh,malah
mlah,malah
bgtu,begitu
bgini,begini
bgm,bagaimana
bgmn,bagaimana
bgmnapun,bagaimanapun
bagaimanapun,bagaimanapun
bgmanapun,bagaimanapun
sjk,sejak
sejak,sejak
smjk,semenjak
semenjak,semenjak
smntr,sementara
sementara,sementara
smpkn,sampaikan
sampaikan,sampaikan
smperin,samperin
samperin,samperin
dtgin,datangi
datangi,datangi
ngpain,sedang apa
ngapain,sedang apa
lgi ngpain,lagi ngapain
ngapain lg,ngapain lagi
ngpain aj,ngapain aja
ngapain aja,ngapain aja
knp lg,kenapa lagi
kenapa lg,kenapa lagi
kenapa lagi,kenapa lagi
ada apa lg,ada apa lagi
ada apa lagi,ada apa lagi
siapa lg,siapa lagi
siapa lagi,siapa lagi
kapan lg,kapan lagi
dimana lg,dimana lagi
gimana lg,bagaimana lagi
bagaimana lg,bagaimana lagi
kok bs,kok bisa
kok bisa,kok bisa
kok bsa,kok bisa
kyk gini,kayak begini
kayak gini,kayak begini
kyk gitu,kayak begitu
kayak gitu,kayak begitu
kek gini,seperti ini
kek gitu,seperti itu
ga ad,tidak ada
gaada,tidak ada
gak ad,tidak ada
gada,tidak ada
gk ad,tidak ada
ga prnh,tidak pernah
gapernah,tidak pernah
gak prnh,tidak pernah
gak pernah,tidak pernah
ga ush,tidak usah
gausah,tidak usah
gak usah,tidak usah
gk ush,tidak usah
ga prlu,tidak perlu
gaperlu,tidak perlu
gak perlu,tidak perlu
gk perlu,tidak perlu
ga smpt,tidak sempat
gasempet,tidak sempat
gak smpt,tidak sempat
gak sempet,tidak sempat
td,tadi
tdi,tadi
ntr,nanti
ntar,nanti
brsn,barusan
barusan,barusan
barusan aj,barusan saja
barusan aja,barusan saja
skrg,sekarang
skrng,sekarang
saiki,sekarang
skrg ini,sekarang ini
saat ini,saat ini
hari ini,hari ini
hr ini,hari ini
hrini,hari ini
bsk,besok
besok,besok
kmrn,kemarin
kemaren,kemarin
dulu,dulu
dlu,dulu
prnh,pernah
pernh,pernah
blm prnh,belum pernah
belum prnh,belum pernah
belom prnh,belum pernah
blom prnh,belum pernah
udh prnh,sudah pernah
udah prnh,sudah pernah
sdh prnh,sudah pernah
sdh,sudah
msh,masih
msi,masih
msih,masih
masi,masih
knl,kenal
kenalan,kenalan
knln,kenalan
followan,saling mengikuti
tmnan,temanan
temenan,temanan
pcrn,pacaran
pacaran,pacaran
musuhan,musuhan
musuhn,musuhan
saingan,saingan
saingn,saingan
sendirian,sendirian
sndirian,sendirian
berdua,berdua
brdua,berdua
brduaan,berduaan
bertiga,bertiga
brtiga,bertiga
berempat,berempat
brempat,berempat
berlima,berlima
brlima,berlima
ramean,ramai-ramai
rame2,ramai-ramai
ramai2,ramai-ramai
sendiri2,sendiri-sendiri
sendri2,sendiri-sendiri
masing2,masing-masing
msg2,masing-masing
satu2,satu-satu
satusatu,satu-satu
smw,semua
semuany,semuanya
semuanya,semuanya
smwany,semuanya
sbgian,sebagian
sebagian,sebagian
slruh,seluruh
seluruh,seluruh
seluruhny,seluruhnya
sluruhny,seluruhnya
seluruhnya,seluruhnya
beberp,beberapa
bbrp,beberapa
beberapa,beberapa
smcm,semacam
semacam,semacam
sejenis,sejenis
sjnis,sejenis
sprti,seperti
sperti,seperti
kyk,seperti
kek,seperti
bagai,seperti
bgaikn,bagaikan
bagaikan,bagaikan
mirip,mirip
mrip,mirip
persis,persis
prsis,persis
beda,berbeda
berbeda,berbeda
lain,lain
lainny,lainnya
lainnya,lainnya
yg lain,yang lain
yg laen,yang lain
laen,lain
pertama,pertama
prtama,pertama
pertamax,pertama
kedua,kedua
kdua,kedua
ketiga,ketiga
ktiga,ketiga
terakhir,terakhir
trakhir,terakhir
trahr,terakhir
akhirnya,akhirnya
akhrny,akhirnya
akhirny,akhirnya
awalny,awalnya
awalnya,awalnya
mula2,mula-mula
mula-mula,mula-mula
mulany,mulanya
mulanya,mulanya
ujungny,ujungnya
ujungnya,ujungnya